Numéro ID,CLub,Ville ,Ligues,District 
564852,1 G PERFORMANCE,LA GARDE,Mediterrannée ,Var
565054,A SUPPRIMER,LA GARDE,,Var
565055,A SUPPRIMER,LA GARDE,,Var
563802,A. .S. DE L'ESTEREL,ESTEREL LES ADRETS,,Var
530094,A. S. DE SIGNES FOOTBALL CLUB,SIGNES,,Var
882217,A. S. DES DRAGONS ROUGES,DRAGUIGNAN,,Var
553845,A. S. LES VALLONS,LES VALLONS A BARJOLS,,Var
882216,A. S. SCULTT,DRAGUIGNAN,,Var
546251,A.ET.S. BRASSOISE,BRAS,,Var
881475,A.S SIBLAS,LA VALETTE DU VAR,,Var
503035,A.S. ARCOISE,LES ARCS,,Var
500520,A.S. BRIGNOLAISE,BRIGNOLES,,Var
547131,A.S. CALLAS CANTON,CALLAS,,Var
503120,A.S. MAXIMOISE,STE MAXIME,,Var
521673,A.S. PRESQU'ILE GIENS,HYERES GIENS,,Var
547436,A.S. ST CYR,ST CYR SUR MER,,Var
581525,A.S.C. LE LAS FUTSAL,TOULON,,Var
564530,ACADÉMIE CLUB FLAYOSCAISE,FLAY LORGUES,,Var
517383,AM. CARCOISE,CARCES,,Var
882463,AMICALE SPORTIVE LES COLLEGUES DU ROCHER,ROQUEBRUNE SUR ARGENS,,Var
864301,ANIM FC,FREJUS,,Var
565151,AS POURRIÉROISE,POURRIERES,,Var
582291,AS. LA BEAUCAIRE,TOULON,,Var
520691,ASPTT HYERES,HYERES PTT,,Var
503296,ASPTT TOULON,TOULON,,Var
882213,ASSOCIATION FOOTBALL DES ENSEIGNANTS VÉTÉRANS,DRAGUIGNAN,,Var
565010,ASSOCIATION SPORTIVE BAGNOLAISE DE FOOTBALL,BAGNOLS EN FORET,,Var
565208,ASSOCIATION SPORTIVE ENTRECASTELAINE,ENTRECASTEAUX,,Var
565243,ASSOCIATION SPORTIVE SAINTE MUSSE,TOULON,,Var
560995,ATHLECTIC CLUB BERTHE,LA SEYNE SUR MER,,Var
564818,ATHLETIQUE CLUB TOULONNAIS,SIX FOURS LES PLAGES,,Var
533107,AV.S. MAR VIVO,LA SEYNE SUR MER,,Var
565204,AVENIR SPORTIF TOUSEYNOIS,LA SEYNE SUR MER,,Var
528479,BESSE S.,BESSE SUR ISSOLE,,Var
865340,BLACK PANTHERS FUTSAL,LES ARCS,,Var
590261,C. S. DES KING OF VAL DES ROUGIERES,VAL ROUGIERES A HYERES,,Var
535709,C.A. CANNETOIS,CANNET LE LUC,,Var
503060,C.A. ROQUEBRUNOIS,ROQUEBRUNE SUR ARGENS,,Var
554100,CENTRE SOCIAL ET CULTUREL STE MUSSE TOULON EST,TOULON,,Var
565198,CONSTANT SOCCER FC,FREJUS,,Var
865032,DRACENIE FOOT,DRAGUIGNAN,,Var
517390,ENT. PIVOTTE SERINETTE TOULON,TOULON,,Var
550289,ENT. S. AUPS REGUSSE,AU REGUSSE,,Var
510111,ENT.F.C. SEYNOIS ET.S,LA SEYNE SUR MER,,Var
536133,ET. DE CLARET MONTETY,TOULON,,Var
554245,ET. F.C. FREJUS SAINT RAPHAEL,FR ST RAPHAEL,,Var
519051,ET.S. FLASSANNAISE,FLASSANS SUR ISSOLE,,Var
509994,ET.S. LORGUAISE,LORGUES,,Var
560328,ETOILE FUTSAL LUCOIS,LE LUC,,Var
565038,ETOILE SPORTIVE CAMPSOISE,CAMPS LA SOURCE,,Var
538960,EVEIL SPORTIF TOULONNAIS,TOULON,,Var
552716,F. C. DE SAINTE ANASTASIE,STE ANASTASIE SUR ISSOLE,,Var
548692,F.C. BELGENTIEROIS,BELGENTIER,,Var
539774,F.C. DE POURRIERES,POURRIERES,,Var
513460,F.C. GONFARONNAIS,GONFARON,,Var
541133,F.C. GRIMAUDOIS,GRIMAUD,,Var
548270,F.C. PAYS DE FAYENCE,PAYS DE FAYENCE,,Var
516999,F.C. PUGETOIS,PUGET SUR ARGENS,,Var
526881,F.C. RAMATUELLOIS,RAMATUELLE,,Var
521151,F.C. REVESTOIS,LE REVEST LES EAUX,,Var
,,,,Var
535114,F.C. ROCBARON,ROCBARON,,Var
503105,F.C. VIDAUBAN,VIDAUBAN,,Var
545189,F.C.U.S. TROPEZIENNE,ST TROPEZ,,Var
564280,FC PONTCARRAL,TOULON,,Var
560243,FOOTBALL ASSOCIATION FREJUSIENNE,FREJUS,,Var
580961,FOOTBALL CLUB CARNOULES,CARNOULES,,Var
560839,FOOTBALL CLUB LE LAVANDOU BORMES,LE LAVANDOU A BORMES,,Var
564422,FOOTBALL CLUB TOULON CENTRE,TOULON,,Var
864847,FOOTBALL CLUB TOULON OUEST,TOULON,,Var
582377,FREJUS FUTSAL CLUB,FREJUS,,Var
865341,FREJUS SEVEN CLUB,FREJUS,,Var
860641,FRIENDS83,DRAGUIGNAN,,Var
865170,FUTEVOLEI TOULON VAR,TOULON,,Var
565087,FUTNET RAPHAELOIS,ST RAPHAEL,,Var
517381,GAPEAU FOOTBALL CLUB,G SOLLIES LA FARLEDE,,Var
503183,GARDIA C.,LA GARDE,,Var
564625,GERBY FEMININ CLUB FUTSAL,TOULON,,Var
560697,HIBOU ACADEMIE,SOLLIES PONT,,Var
500102,HYERES F.C.,HYERES FC,,Var
581648,INSTITUT M20,TOULON,,Var
554518,ISSOLE FUTSAL CLUB,ROCBARON,,Var
509156,J.S. BEAUSSETANNE,LE BEAUSSET,,Var
564137,JEUNESSE SPORTIVE DE BERTHE,LA SEYNE SUR MER,,Var
865371,LA TORTUE GARDEENNE,TOULON,,Var
548794,LE MUY F.C.,LE MUY,,Var
582496,LITTORAL SPORT ACADEMY,TOULON,,Var
864884,MATES SOCCER,DRAGUIGNAN,,Var
564138,MY IDEAL SOCCER ACADEMY (MISA),MISA A ROQUEBRUNE,,Var
503095,O. SALERNOIS,SALERNES,,Var
535905,O. TARADEEN,TARADEAU,,Var
511632,OLYMPIQUE DE SAINT MAXIMIN,ST MAXIMIN LA STE BAUME,,Var
544898,R.C. LA BAIE,LA CROIX VALMER,,Var
524340,RACING F.C. TOULON,TOULON,,Var
564763,REAL FOOT PROJECT,ST ZACHARIE,,Var
564775,ROCBARON FUTSAL CLUB,ROCBARON,,Var
553782,S. C. DRAGUIGNAN,DRAGUIGNAN,,Var
581755,S. C. ROUGIEROIS,ROUGIERS,,Var
523061,SIX FOURS LE BRUSC F.C.,SIX FOURS LES PLAGES,,Var
882212,SP. C. HOSPITALIER,DRAGUIGNAN,,Var
503315,SP.C. BARJOLAIS,BARJOLS,,Var
500352,SP.C. COGOLINOIS,COGOLIN,,Var
844509,SP.C. DE LA RESERVE,TOULON,,Var
865339,SPORT SANTE SIX FOURS LE BRUSC,SIX FOURS LES PLAGES,,Var
864482,SPORTING CLUB CARCES-COTIGNAC,COTIGNAC,,Var
563544,SPORTING CLUB NANSAIS,NANS LES PINS,,Var
540757,SPORTING CLUB PLANTOURIAN,PLAN DE LA TOUR,,Var
581717,SPORTING CLUB TOULON,TOULON,,Var
582330,SPORTING CLUB TOURVAIN,TOURVES,,Var
563800,SPORTING CLUB VALOIS,LE VAL,,Var
850479,ST MAX FUTSAL,ST MAXIMIN LA STE BAUME,,Var
561032,ST TROPEZ / LA BAIE,ST TROPEZ LA CROIX VALMER,,Var
520685,ST. TRANSIAN,TRANS EN PROVENCE,,Var
503092,ST.O. LONDAIS,LA LONDE,,Var
554499,TOULON EST FUTSAL,TOULON,,Var
565080,TOULON METROPOLE FUTSAL,TOULON,,Var
582354,TOULON TREMPLIN,TOULON,,Var
881010,U. MAHORAISE DE TOULON,TOULON,,Var
554251,U. S. CARQUEIRANNE LA CRAU,CAR LA CRAU,,Var
580844,U. S. DU VAL D'ISSOLE,VAL ISSOLE A GAREOULT,,Var
503322,U.A. VALETTOISE,LA VALETTE DU VAR,,Var
503050,U.S. BANDOLAISE,BANDOL,,Var
529735,U.S. CABASSOISE,CABASSE,,Var
547578,U.S. CADIERENNE,LA CADIERE D AZUR,,Var
545621,U.S. CUERS PIERREFEU,CUERS PIERREFEU DU VAR,,Var
500452,U.S. LUCOISE,LE LUC,,Var
521055,U.S. OLLIOULAISE,OLLIOULES,,Var
513172,U.S. PIGNANTAISE,PIGNANS,,Var
